champion,type
aatrox,ad
ahri,ap
akali,ap
alistar,ap
amumu,ap
anivia,ap
annie,ap
aphelios,ad
ashe,ad
aurelion sol,ap
azir,ap
bard,ap
blitzcrank,ap
brand,ap
braum,ap
caitlyn,ad
camille,ad
cassiopeia,ap
chogath,ap
corki,ad
darius,ad
diana,ap
drmundo,ap
draven,ad
ekko,ap
elise,ap
evelynn,ap
ezreal,ad
fiddlesticks,ap
fiora,ad
fizz,ap
galio,ap
gangplank,ad
garen,ad
gnar,ad
gragas,ap
graves,ad
hecarim,ad
heimerdinger,ap
illaoi,ad
irelia,ad
ivern,ap
janna,ap
jarvan,ad
jax,ad
jayce,ad
jhin,ad
jinx,ad
kaisa,ad
kalista,ad
karma,ap
karthus,ap
kassadin,ap
katarina,ap
kayle,ap
kayn,ad
kennen,ap
khazix,ad
kindred,ad
kled,ad
kogmaw,ad
leblanc,ap
lee sin,ad
leona,ap
lissandra,ap
lucian,ad
lulu,ap
lux,ap
malphite,ap
malzahar,ap
maokai,ap
master yi,ad
miss fortune,ad
mordekaiser,ap
morgana,ap
nami,ap
nasus,ap
nautilus,ap
neeko,ap
nidalee,ap
nocturne,ad
nunu,ap
olaf,ad
orianna,ap
ornn,ad
pantheon,ad
poppy,ad
pyke,ad
qiyana,ad
quinn,ad
rakan,ap
rammus,ap
reksai,ad
renekton,ad
rengar,ad
riven,ad
rumble,ap
ryze,ap
sejuani,ap
senna,ad
sett,ad
shaco,ad
shen,ap
shyvana,ap
singed,ap
sion,ad
sivir,ad
skarner,ap
sona,ap
soraka,ap
swain,ap
sylas,ap
syndra,ap
tahm kench,ap
taliyah,ap
talon,ad
taric,ap
teemo,ap
thresh,ap
tristana,ad
trundle,ad
tryndamere,ad
twisted fate,ap
twitch,ad
udyr,ad
urgot,ad
varus,ad
vayne,ad
veigar,ap
velkoz,ap
vi,ad
viktor,ap
vladimir,ap
volibear,ap
warwick,ad
wukong,ad
xayah,ad
xerath,ap
xin zhao,ad
yasuo,ad
yorick,ad
yuumi,ap
zac,ap
zed,ad
ziggs,ap
zilean,ap
zoe,ap
zyra,ap
